,prof_domain,type,speciality,industry_code,edu_group_code,speciality_id,edu_group,edu_group_id
75,Цветная металлургия,ВПО,Инженер по эксплуатации,non_ferrous_metallurgy,22,19,Технологии материалов (ВПО),13
76,Цветная металлургия,ВПО,Специалист по сертификации,non_ferrous_metallurgy,27,16,Управление в технических системах (ВПО),5
77,Цветная металлургия,ВПО,Технолог,non_ferrous_metallurgy,22,8,Технологии материалов (ВПО),13
78,Цветная металлургия,ВПО,Инженер по качеству,non_ferrous_metallurgy,27,17,Управление в технических системах (ВПО),5
79,Черная металлургия,СПО,"Оператор, аппаратчик",ferrous_metallurgy,22,0,Технологии материалов (СПО),11
80,Черная металлургия,СПО,"Оператор, аппаратчик",ferrous_metallurgy,18,0,Химические технологии (СПО),12
81,Черная металлургия,СПО,Контролер ОТК,ferrous_metallurgy,22,14,Технологии материалов (СПО),11
82,Черная металлургия,СПО,Контролер ОТК,ferrous_metallurgy,15,14,Машиностроение (СПО),3
83,Черная металлургия,СПО,Машинист,ferrous_metallurgy,22,2,Технологии материалов (СПО),11
84,Черная металлургия,СПО,Машинист,ferrous_metallurgy,18,2,Химические технологии (СПО),12
85,Черная металлургия,СПО,Разнорабочий,ferrous_metallurgy,22,4,Технологии материалов (СПО),11
86,Черная металлургия,СПО,Разнорабочий,ferrous_metallurgy,15,4,Машиностроение (СПО),3
87,Черная металлургия,СПО,Слесарь,ferrous_metallurgy,15,5,Машиностроение (СПО),3
88,Черная металлургия,СПО,Сварщик,ferrous_metallurgy,22,11,Технологии материалов (СПО),11
89,Черная металлургия,СПО,Сварщик,ferrous_metallurgy,15,11,Машиностроение (СПО),3
90,Черная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",ferrous_metallurgy,15,13,Машиностроение (СПО),3
91,Черная металлургия,ВПО,Инженер по эксплуатации,ferrous_metallurgy,22,19,Технологии материалов (ВПО),13
92,Черная металлургия,ВПО,Специалист по сертификации,ferrous_metallurgy,27,16,Управление в технических системах (ВПО),5
93,Черная металлургия,ВПО,Технолог,ferrous_metallurgy,22,8,Технологии материалов (ВПО),13
94,Черная металлургия,ВПО,Инженер по качеству,ferrous_metallurgy,27,17,Управление в технических системах (ВПО),5
95,Химическая промышленность,СПО,"Оператор, аппаратчик",chemical,18,0,Химические технологии (СПО),12
96,Химическая промышленность,СПО,Контролер ОТК,chemical,18,14,Химические технологии (СПО),12
97,Химическая промышленность,СПО,Лаборант,chemical,18,20,Химические технологии (СПО),12
98,Химическая промышленность,ВПО,Исследователь,chemical,18,21,Химические технологии (ВПО),14
99,Химическая промышленность,ВПО,Специалист по сертификации,chemical,27,16,Управление в технических системах (ВПО),5
100,Химическая промышленность,ВПО,Инженер по качеству,chemical,27,17,Управление в технических системах (ВПО),5
101,Химическая промышленность,ВПО,Технолог,chemical,18,8,Химические технологии (ВПО),14
102,Фармацевтика,СПО,"Оператор, аппаратчик",pharma,33,0,Фармация (СПО),15
103,Фармацевтика,СПО,"Оператор, аппаратчик",pharma,18,0,Химические технологии (СПО),12
104,Фармацевтика,СПО,"Оператор, аппаратчик",pharma,19,0,Промышленная экология и биотехнологии (СПО),16
105,Фармацевтика,СПО,Лаборант,pharma,21,20,"Прикладная геология, горное дело, нефтегазовое дело и геодезия (СПО)",0
106,Фармацевтика,СПО,Лаборант,pharma,18,20,Химические технологии (СПО),12
107,Фармацевтика,СПО,Лаборант,pharma,19,20,Промышленная экология и биотехнологии (СПО),16
