,city,18,27,coordinates
181,Орел,,311.0,"[36.064358, 52.970756]"
182,Оренбург,1751.0,2540.0,"[55.096964, 51.768205]"
183,Орск,195.0,174.0,"[58.474675, 51.2293]"
184,Пенза,699.0,4726.0,"[45.018316, 53.195042]"
185,Первомайский,55.0,,"[37.503837, 54.036483]"
186,Первомайский,55.0,,"[51.641055, 51.903798]"
187,Первомайский,55.0,,"[61.174696, 54.865622]"
188,Первомайский,55.0,,"[115.63833, 51.669294]"
189,Пермь,5575.0,2961.0,"[56.229443, 58.010455]"
190,Петрозаводск,,134.0,"[34.346878, 61.785021]"
191,Петропавловск-Камчатский,,449.0,"[158.643503, 53.024265]"
192,Подольск,,152.0,"[37.544997, 55.431136]"
193,Полярные Зори,,72.0,"[32.500975, 67.365788]"
194,Почеп,61.0,,"[33.454267, 52.929135]"
195,Псков,,278.0,"[28.33246, 57.819274]"
196,Пятигорск,,348.0,"[43.070643, 44.039802]"
197,Реутов,285.0,,"[37.85515, 55.760515]"
198,Ржев,76.0,,"[34.334419, 56.263017]"
199,Ровеньки,,41.0,"[38.891985, 49.914716]"
200,Россошь,98.0,,"[39.562632, 50.198256]"
201,Ростов-на-Дону,1561.0,10971.0,"[39.720358, 47.222078]"
202,Рошаль,60.0,,"[39.862768, 55.663283]"
203,Рузаевка,,99.0,"[44.94911, 54.058274]"
204,Рыбинск,,963.0,"[38.855711, 58.04864]"
205,Рязань,2242.0,2070.0,"[39.741917, 54.629565]"
206,Салават,3193.0,,"[55.924681, 53.361651]"
207,Самара,6360.0,8120.0,"[50.100202, 53.195878]"
208,Санкт-Петербург,24029.0,30460.0,"[30.315877, 59.939099]"
209,Саранск,688.0,1394.0,"[45.183938, 54.187433]"
210,Саратов,2907.0,5835.0,"[46.034266, 51.533562]"
211,Сатка,127.0,,"[58.974578, 55.047456]"
212,Сафоново,107.0,,"[33.23798, 55.106057]"
213,Светлый,22.0,,"[20.131093, 54.673268]"
214,Светлый,22.0,,"[113.426974, 63.049927]"
215,Светлый Яр,145.0,,"[44.78002, 48.475809]"
216,Свирск,53.0,,"[103.342253, 53.066572]"
217,Свободный,122.0,,"[128.134156, 51.375889]"
218,Северодвинск,,604.0,"[39.823781, 64.563386]"
219,Северск,1457.0,,"[84.880913, 56.60319]"
220,Семилуки,102.0,,"[39.020211, 51.69463]"
221,Сергиев Посад,271.0,,"[38.135972, 56.315311]"
222,Симферополь,225.0,,"[34.100327, 44.948237]"
223,Советская Гавань,56.0,,"[140.285128, 48.966446]"
224,Соликамск,208.0,118.0,"[56.770391, 59.649193]"
225,Солнечногорск,,268.0,"[36.977631, 56.185107]"
226,Ставрополь,1016.0,425.0,"[41.96911, 45.043317]"
227,Старый Оскол,135.0,521.0,"[37.833231, 51.297974]"
228,Стерлитамак,2854.0,1105.0,"[55.930825, 53.630403]"
229,Ступино,,97.0,"[38.078237, 54.88628]"
230,Сургут,197.0,856.0,"[73.393032, 61.241778]"
231,Сухой Лог,76.0,,"[62.035542, 56.905431]"
232,Сызрань,532.0,244.0,"[48.474611, 53.155669]"
233,Сыктывкар,656.0,354.0,"[50.836497, 61.668797]"
234,Таганрог,,159.0,"[38.936694, 47.208735]"
235,Тамбов,1454.0,2148.0,"[41.45275, 52.721295]"
236,Тверь,2247.0,1781.0,"[35.91186, 56.859625]"
237,Темрюк,,215.0,"[37.365388, 45.282044]"
238,Тимашевск,67.0,,"[38.933973, 45.6142]"
239,Тихорецк,181.0,352.0,"[40.123171, 45.852784]"
240,Тобольск,662.0,,"[68.253995, 58.200891]"
241,Тольятти,2025.0,1453.0,"[49.420411, 53.507852]"
242,Томск,9499.0,9385.0,"[84.947649, 56.484645]"
243,Туймазы,110.0,,"[53.694955, 54.600708]"
244,Тула,,1480.0,"[37.617348, 54.193122]"
245,Тында,,156.0,"[124.73644, 55.149666]"
246,Тюмень,3357.0,4701.0,"[65.541227, 57.152985]"
247,Узловая,,361.0,"[38.160308, 53.97844]"
248,Улан-Удэ,722.0,1137.0,"[107.584547, 51.834809]"
249,Ульяновск,,2326.0,"[48.403132, 54.314192]"
250,Урень,63.0,,"[45.799536, 57.463042]"
251,Усолье-Сибирское,70.0,,"[103.637332, 52.757095]"
252,Уссурийск,,309.0,"[131.952122, 43.797247]"
253,Уфа,2786.0,7141.0,"[55.958736, 54.735152]"
254,Ухта,160.0,1014.0,"[53.663999, 63.566006]"
255,Хабаровск,1233.0,2595.0,"[135.071917, 48.480229]"
256,Химки,,160.0,"[37.444853, 55.889361]"
257,Чайковский,142.0,,"[54.14881, 56.778081]"
258,Чапаевск,83.0,,"[49.710217, 52.981709]"
259,Чебоксары,1608.0,3862.0,"[47.247728, 56.139918]"
260,Чегдомын,50.0,,"[133.035948, 51.133904]"
261,Челябинск,1933.0,2338.0,"[61.402554, 55.159902]"
262,Череповец,1456.0,916.0,"[37.90347, 59.122612]"
263,Черногорск,159.0,,"[91.306005, 53.827013]"
264,Чернянка,,53.0,"[37.804134, 50.940917]"
265,Чистополь,,104.0,"[50.643575, 55.372339]"
266,Чита,8.0,416.0,"[113.501049, 52.033635]"
267,Шахты,780.0,844.0,"[40.215401, 47.709237]"
268,Шебекино,145.0,,"[36.879319, 50.404344]"
269,Щекино,124.0,119.0,"[37.518165, 54.001574]"
270,Электроизолятор,207.0,,"[38.501137, 55.586237]"
271,Электросталь,116.0,476.0,"[38.444858, 55.78445]"
272,Энгельс,507.0,135.0,"[46.124052, 51.50105]"
273,Ютановка,,46.0,"[37.796768, 50.4909]"
274,Якутск,786.0,259.0,"[129.732178, 62.027221]"
275,Ярославль,5947.0,2636.0,"[39.893813, 57.626559]"
