,city,18,19,21,27,33,4,6,coordinates
229,Йошкар-Ола,178.0,1835.0,2026.0,2727.0,1442.0,1458.0,1896.0,"[47.886178, 56.6316]"
230,Кавалерово,,,103.0,,,,,"[135.057292, 44.267653]"
231,Кадом,,59.0,,,,,,"[42.467244, 54.559078]"
232,Казань,4231.0,3455.0,14901.0,16691.0,8016.0,5923.0,932.0,"[49.106414, 55.796127]"
233,Калачинск,,47.0,,,,,,"[74.581782, 55.052613]"
234,Калашниково,,,82.0,,,,,"[35.224541, 57.279735]"
235,Калининград,136.0,3210.0,1116.0,,349.0,1045.0,2193.0,"[20.510137, 54.710162]"
236,Калуга,,366.0,988.0,3663.0,635.0,1195.0,1023.0,"[36.261224, 54.513845]"
237,Каменка,,117.0,,92.0,,,,"[44.046878, 53.185557]"
238,Каменск-Уральский,,87.0,,127.0,,,,"[61.917764, 56.41524]"
239,Каменск-Шахтинский,153.0,144.0,,343.0,,,,"[40.269534, 48.323133]"
240,Камень-на-Оби,,96.0,,,,,,"[81.354558, 53.791492]"
241,Камышин,,93.0,,,,,,"[45.402166, 50.085287]"
242,Канаш,218.0,,216.0,,,,,"[47.491764, 55.506943]"
243,Каневская,,,50.0,,,,,"[38.971953, 46.084805]"
244,Канск,170.0,64.0,178.0,,,,,"[95.705064, 56.20505]"
245,Карабаш,33.0,,,,,,,"[60.203087, 55.488371]"
246,Карагай,,13.0,,,,,,"[54.928422, 58.266211]"
247,Карачаевск,,,,,,,757.0,"[41.911475, 43.769958]"
248,Карачев,87.0,,,,,,,"[34.982805, 53.121594]"
249,Карпинск,,107.0,,,,,,"[60.001074, 59.766633]"
250,Касимов,100.0,61.0,81.0,,161.0,,,"[41.391368, 54.937288]"
251,Качканар,,70.0,67.0,,,,,"[59.485037, 58.70526]"
252,Кашира,,,,110.0,,,,"[38.15154, 54.834589]"
253,Кемерово,3232.0,1695.0,2275.0,2149.0,2009.0,2651.0,3376.0,"[86.086847, 55.355198]"
254,Керчь,115.0,200.0,142.0,,,,,"[36.467378, 45.356219]"
255,Кизел,,42.0,,,,,,"[57.653875, 59.04943]"
256,Кизляр,,,144.0,,,,54.0,"[46.710338, 43.850312]"
257,Ким,,,82.0,,,,,"[54.612188, 53.897122]"
258,Кимры,,,,61.0,,,,"[37.358274, 56.872659]"
259,Кингисепп,146.0,131.0,,,,,,"[28.601209, 59.378053]"
260,Кинель,,81.0,,,,,,"[50.634394, 53.22101]"
261,Кинешма,68.0,43.0,,,,,,"[42.169525, 57.443126]"
262,Кириши,128.0,115.0,,,,,,"[32.008716, 59.449695]"
263,Киров,5369.0,4677.0,1477.0,4079.0,546.0,2607.0,8685.0,"[34.307999, 54.079614]"
264,Киров,5369.0,4677.0,1477.0,4079.0,546.0,2607.0,8685.0,"[49.668023, 58.603595]"
265,Кировград,26.0,,35.0,,,,,"[60.062321, 57.431916]"
266,Кирово-Чепецк,60.0,78.0,,,,,,"[50.043941, 58.556581]"
267,Кировск,,,130.0,,,,,"[30.981457, 59.87533]"
268,Кировск,,,130.0,,,,,"[33.668237, 67.61206]"
269,Кировский,,52.0,,,,,,"[133.498841, 45.091914]"
270,Киселевск,,,206.0,,,,,"[86.636688, 54.006025]"
271,Кисловодск,,199.0,,34.0,,,,"[42.715718, 43.905518]"
