,city,11,15,18,27,coordinates
139,Воронеж,3332.0,13831.0,4610.0,6742.0,"[39.200296, 51.660781]"
140,Воскресенск,,106.0,139.0,100.0,"[38.673362, 55.322978]"
141,Воткинск,,997.0,,,"[53.985236, 57.05232]"
142,Выборг,,79.0,113.0,,"[28.749781, 60.710496]"
143,Выкса,,1071.0,,519.0,"[42.16797, 55.320688]"
144,Выльгорт,,58.0,,,"[50.768369, 61.626965]"
145,Вытегра,,82.0,,,"[36.449511, 61.006359]"
146,Вышний Волочек,,79.0,,,"[34.558836, 57.584174]"
147,Вязники,,107.0,,,"[42.158862, 56.247026]"
148,Вязьма,,487.0,,15.0,"[34.298037, 55.205944]"
149,Вятские Поляны,,99.0,,,"[51.074919, 56.222896]"
150,Гаврилов-Ям,,82.0,,,"[39.853847, 57.303956]"
151,Галич,,68.0,,,"[42.34749, 58.381203]"
152,Гатчина,,181.0,,,"[30.122892, 59.56841]"
153,Геленджик,,,,24.0,"[38.077115, 44.561012]"
154,Георгиевск,,288.0,,,"[43.474274, 44.147959]"
155,Глазов,,473.0,99.0,,"[52.674253, 58.140801]"
156,Горно-Алтайск,140.0,165.0,,,"[85.960634, 51.957804]"
157,Горнозаводск,,45.0,,,"[58.330917, 58.374682]"
158,Горнозаводск,,45.0,,,"[141.846759, 46.560619]"
159,Горный,,78.0,,,"[48.538553, 51.756147]"
160,Городец,,109.0,,,"[43.47236, 56.644822]"
161,Городовиковск,,68.0,,,"[41.936052, 46.083105]"
162,Грозный,4242.0,2766.0,1565.0,997.0,"[45.692421, 43.318366]"
163,Губаха,,161.0,163.0,,"[57.554584, 58.837022]"
164,Губкин,,109.0,,,"[37.534757, 51.283644]"
165,Гуково,,95.0,,,"[39.934929, 48.061025]"
166,Гулькевичи,,146.0,,,"[40.695236, 45.360342]"
167,Гусев,,209.0,,,"[22.201117, 54.591841]"
168,Гусиноозерск,,148.0,,,"[106.529323, 51.285526]"
169,Гусь-Хрустальный,,177.0,165.0,,"[40.671045, 55.614556]"
170,Дагестанские Огни,,79.0,,,"[48.193923, 42.115189]"
171,Дальнегорск,,83.0,,,"[135.576366, 44.558764]"
172,Дальнереченск,,79.0,,,"[133.726941, 45.931182]"
173,Данков,,65.0,,,"[39.134423, 53.246197]"
174,Двинской,,4.0,,,"[45.117804, 62.154774]"
175,Дербент,,236.0,,,"[48.288776, 42.057669]"
176,Десногорск,,104.0,,,"[33.287881, 54.152351]"
177,Дзержинск,,3086.0,1826.0,,"[43.461634, 56.238382]"
178,Дивногорск,,115.0,,,"[92.380148, 55.957726]"
179,Димитровград,,620.0,761.0,,"[49.623924, 54.217515]"
180,Динская,,244.0,,,"[39.223068, 45.218577]"
181,Дмитров,,132.0,,,"[37.517608, 56.342905]"
182,Добрянка,,65.0,,,"[56.403986, 58.468068]"
183,Долгое Ледово,225.0,209.0,275.0,,"[37.975596, 55.854966]"
184,Долгопрудный,,160.0,,2572.0,"[37.51423, 55.933302]"
185,Долинск,,141.0,,,"[142.79821, 47.324133]"
186,Домашка,,35.0,,,"[50.773534, 52.985211]"
187,Домодедово,,283.0,,,"[37.768004, 55.437174]"
188,Донецк,,146.0,,,"[39.944856, 48.337126]"
189,Донской,,141.0,,,"[38.33741, 53.968352]"
190,Дубна,1199.0,648.0,,2102.0,"[37.162189, 56.736345]"
191,Дудинка,,35.0,39.0,,"[86.164992, 69.405769]"
192,Дюртюли,,157.0,,,"[54.873472, 55.48529]"
193,Дятьково,,185.0,,85.0,"[34.339656, 53.597311]"
194,Евпатория,,121.0,,,"[33.367643, 45.190635]"
195,Егорьевск,,2686.0,,,"[39.035842, 55.383055]"
196,Ейск,114.0,107.0,,,"[38.27266, 46.711944]"
197,Екатеринбург,12953.0,7850.0,2916.0,13211.0,"[60.597474, 56.838011]"
198,Елец,738.0,683.0,75.0,,"[38.500446, 52.621938]"
199,Елизово,,126.0,,,"[158.382659, 53.189231]"
200,Ершов,,76.0,,,"[48.266498, 51.349829]"
201,Ессентуки,,25.0,,,"[42.85891, 44.044526]"
202,Ефремов,,102.0,83.0,,"[38.117673, 53.137603]"
203,Жатай,,156.0,,,"[129.841386, 62.163942]"
204,Железногорск,68.0,303.0,,,"[93.532264, 56.252922]"
205,Железногорск,68.0,303.0,,,"[35.350871, 52.339203]"
206,Железногорск-Илимский,,56.0,,,"[104.114292, 56.584848]"
207,Жердевка,,83.0,,,"[41.469638, 51.844163]"
208,Жигулевск,,43.0,54.0,,"[49.494657, 53.40172]"
209,Жирнов,,69.0,,,"[41.124739, 48.17071]"
210,Жирновск,,242.0,,,"[44.778843, 50.978718]"
211,Жуковка,,47.0,,,"[33.732547, 53.533067]"
212,Жуковский,846.0,,,,"[38.119811, 55.59748]"
213,Заволжье,,232.0,,,"[43.387164, 56.640441]"
214,Заинск,,94.0,,,"[52.000427, 55.283928]"
215,Закаменск,,41.0,,,"[103.286764, 50.372602]"
216,Заречный,109.0,193.0,,,"[45.169071, 53.196088]"
217,Заречный,109.0,193.0,,,"[61.320349, 56.814966]"
218,Заринск,,85.0,74.0,,"[84.931488, 53.706337]"
219,Зверево,,73.0,,,"[40.12301, 48.021693]"
220,Зеленогорск,,78.0,,,"[94.588844, 56.113291]"
221,Зеленодольск,,692.0,,,"[48.492802, 55.847048]"
222,Зея,,,42.0,,"[127.265889, 53.734038]"
223,Зима,,129.0,,,"[102.049065, 53.920725]"
224,Зимовники,,60.0,,,"[42.46772, 47.145376]"
225,Златоуст,,873.0,,,"[59.672425, 55.173113]"
226,Зырянское,,50.0,,,"[86.625504, 56.829069]"
227,Иваново,4094.0,3932.0,9542.0,4193.0,"[40.97393, 57.000353]"
228,Ивантеевка,,108.0,,,"[37.907414, 55.976201]"
229,Ивантеевка,,108.0,,,"[49.100323, 52.265172]"
230,Игарка,,22.0,24.0,,"[86.567662, 67.46694]"
231,Иглино,,68.0,,,"[56.416176, 54.834496]"
232,Игрим,,78.0,61.0,,"[64.421944, 63.196228]"
233,Ижевск,4412.0,8189.0,3.0,2088.0,"[53.2069, 56.852676]"
234,Инза,,57.0,,,"[46.351649, 53.85704]"
235,Инсар,,19.0,,,"[44.372248, 53.866513]"
236,Ипатово,,70.0,,,"[42.911156, 45.717425]"
237,Ирбит,,137.0,41.0,,"[63.054079, 57.68507]"
238,Иркутск,2524.0,8636.0,2073.0,2841.0,"[104.280606, 52.289588]"
239,Ирша,,119.0,,,"[94.799841, 55.927644]"
240,Исилькуль,,59.0,,,"[71.262453, 54.913914]"
241,Искитим,,135.0,156.0,,"[83.306391, 54.642587]"
242,Истра,,58.0,,,"[36.859017, 55.91466]"
243,Исянгулово,,27.0,,,"[56.573839, 52.192177]"
244,Ишим,,139.0,,,"[69.457073, 56.109175]"
245,Ишимбай,,1838.0,,,"[56.04395, 53.454626]"
246,Йошкар-Ола,4269.0,4144.0,178.0,2727.0,"[47.886178, 56.6316]"
247,Кадом,,60.0,,,"[42.467244, 54.559078]"
248,Казанская,,41.0,,,"[41.137046, 49.794468]"
249,Казань,5980.0,16362.0,4231.0,16691.0,"[49.106414, 55.796127]"
250,Калачинск,,54.0,,,"[74.581782, 55.052613]"
251,Калининград,1728.0,2940.0,136.0,,"[20.510137, 54.710162]"
252,Калиновка,,138.0,,,"[34.51118, 51.896474]"
253,Калиновка,,138.0,,,"[35.746525, 45.321463]"
254,Калиновская,,68.0,,,"[45.521372, 43.574286]"
255,Калтан,,37.0,,,"[87.27716, 53.521088]"
256,Калуга,2181.0,5828.0,,3663.0,"[36.261224, 54.513845]"
257,Калязин,,95.0,,,"[37.828308, 57.241069]"
258,Камбарка,,75.0,,,"[54.193475, 56.266957]"
259,Каменка,,103.0,,92.0,"[44.046878, 53.185557]"
260,Каменск-Уральский,300.0,788.0,,127.0,"[61.917764, 56.41524]"
261,Каменск-Шахтинский,,937.0,153.0,343.0,"[40.269534, 48.323133]"
262,Камень-на-Оби,,84.0,,,"[81.354558, 53.791492]"
263,Камызяк,,63.0,,,"[48.067548, 46.114432]"
264,Камышин,,857.0,,,"[45.402166, 50.085287]"
