,city,15,27,coordinates
221,Зырянское,50.0,,"[86.625504, 56.829069]"
222,Иваново,3932.0,4193.0,"[40.97393, 57.000353]"
223,Ивантеевка,108.0,,"[37.907414, 55.976201]"
224,Ивантеевка,108.0,,"[49.100323, 52.265172]"
225,Игарка,22.0,,"[86.567662, 67.46694]"
226,Иглино,68.0,,"[56.416176, 54.834496]"
227,Игрим,78.0,,"[64.421944, 63.196228]"
228,Ижевск,8189.0,2088.0,"[53.2069, 56.852676]"
229,Инза,57.0,,"[46.351649, 53.85704]"
230,Инсар,19.0,,"[44.372248, 53.866513]"
231,Ипатово,70.0,,"[42.911156, 45.717425]"
232,Ирбит,137.0,,"[63.054079, 57.68507]"
233,Иркутск,8636.0,2841.0,"[104.280606, 52.289588]"
234,Ирша,119.0,,"[94.799841, 55.927644]"
235,Исилькуль,59.0,,"[71.262453, 54.913914]"
236,Искитим,135.0,,"[83.306391, 54.642587]"
237,Истра,58.0,,"[36.859017, 55.91466]"
238,Исянгулово,27.0,,"[56.573839, 52.192177]"
239,Ишим,139.0,,"[69.457073, 56.109175]"
240,Ишимбай,1838.0,,"[56.04395, 53.454626]"
241,Йошкар-Ола,4144.0,2727.0,"[47.886178, 56.6316]"
242,Кадом,60.0,,"[42.467244, 54.559078]"
243,Казанская,41.0,,"[41.137046, 49.794468]"
244,Казань,16362.0,16691.0,"[49.106414, 55.796127]"
245,Калачинск,54.0,,"[74.581782, 55.052613]"
246,Калининград,2940.0,,"[20.510137, 54.710162]"
247,Калиновка,138.0,,"[34.51118, 51.896474]"
248,Калиновка,138.0,,"[35.746525, 45.321463]"
249,Калиновская,68.0,,"[45.521372, 43.574286]"
250,Калтан,37.0,,"[87.27716, 53.521088]"
251,Калуга,5828.0,3663.0,"[36.261224, 54.513845]"
252,Калязин,95.0,,"[37.828308, 57.241069]"
253,Камбарка,75.0,,"[54.193475, 56.266957]"
254,Каменка,103.0,92.0,"[44.046878, 53.185557]"
255,Каменск-Уральский,788.0,127.0,"[61.917764, 56.41524]"
256,Каменск-Шахтинский,937.0,343.0,"[40.269534, 48.323133]"
257,Камень-на-Оби,84.0,,"[81.354558, 53.791492]"
258,Камызяк,63.0,,"[48.067548, 46.114432]"
259,Камышин,857.0,,"[45.402166, 50.085287]"
260,Камышлов,94.0,,"[62.707464, 56.843988]"
261,Канаш,363.0,,"[47.491764, 55.506943]"
262,Кандалакша,83.0,,"[32.412832, 67.151256]"
263,Канск,221.0,,"[95.705064, 56.20505]"
264,Карабаш,29.0,,"[60.203087, 55.488371]"
265,Каран,46.0,,"[55.917054, 52.926812]"
266,Карасук,134.0,,"[78.04936, 53.731934]"
267,Карачев,310.0,,"[34.982805, 53.121594]"
268,Каргинская,67.0,,"[41.637632, 49.353477]"
269,Карпинск,89.0,,"[60.001074, 59.766633]"
270,Карсун,53.0,,"[46.980766, 54.200786]"
271,Карталы,512.0,,"[60.639462, 53.053308]"
272,Касимов,166.0,,"[41.391368, 54.937288]"
273,Касли,39.0,,"[60.757411, 55.897337]"
274,Каспийск,395.0,,"[47.635665, 42.890853]"
275,Катав-Ивановск,82.0,,"[58.205836, 54.753513]"
276,Катайск,40.0,,"[62.58365, 56.283235]"
277,Кашира,,110.0,"[38.15154, 54.834589]"
278,Кемерово,6879.0,2149.0,"[86.086847, 55.355198]"
279,Кемля,69.0,,"[45.244063, 54.695216]"
280,Керчь,500.0,,"[36.467378, 45.356219]"
281,Кизел,39.0,,"[57.653875, 59.04943]"
282,Кизильское,64.0,,"[58.899641, 52.722801]"
283,Кизляр,276.0,,"[46.710338, 43.850312]"
284,Ким,81.0,,"[54.612188, 53.897122]"
285,Кимры,143.0,61.0,"[37.358274, 56.872659]"
286,Кингисепп,103.0,,"[28.601209, 59.378053]"
287,Кинешма,89.0,,"[42.169525, 57.443126]"
288,Киржач,82.0,,"[38.871585, 56.161945]"
289,Кириши,137.0,,"[32.008716, 59.449695]"
290,Киров,7884.0,4079.0,"[34.307999, 54.079614]"
291,Киров,7884.0,4079.0,"[49.668023, 58.603595]"
292,Кировград,30.0,,"[60.062321, 57.431916]"
293,Кирово-Чепецк,68.0,,"[50.043941, 58.556581]"
294,Кировск,242.0,,"[30.981457, 59.87533]"
295,Кировск,242.0,,"[33.668237, 67.61206]"
296,Кирс,25.0,,"[52.241516, 59.339991]"
297,Киселевск,159.0,,"[86.636688, 54.006025]"
298,Кисловодск,139.0,34.0,"[42.715718, 43.905518]"
299,Кичкасс,65.0,,"[54.407956, 52.31639]"
300,Клинцы,121.0,,"[32.233852, 52.753143]"
301,Ковров,3004.0,848.0,"[41.310933, 56.362506]"
302,Ковылкино,68.0,,"[43.91505, 54.0379]"
303,Когалым,61.0,,"[74.482761, 62.264069]"
304,Кодинск,51.0,,"[99.179712, 58.603412]"
305,Кожевниково,27.0,,"[83.968862, 56.259493]"
306,Козулька,33.0,,"[91.391983, 56.165469]"
307,Коломна,998.0,498.0,"[38.765556, 55.095956]"
308,Колышлей,44.0,,"[44.530944, 52.697617]"
309,Кольчугино,87.0,,"[39.376501, 56.293647]"
310,Коммунар,74.0,,"[30.393483, 59.621609]"
311,Коммунар,74.0,,"[37.738602, 51.850795]"
312,Комсомольск-на-Амуре,2495.0,1435.0,"[137.008685, 50.550055]"
313,Комсомольский,56.0,,"[45.827967, 54.440497]"
314,Конаково,51.0,,"[36.779354, 56.713242]"
315,Копейск,207.0,,"[61.611574, 55.115697]"
316,Кораблино,56.0,,"[40.034463, 53.926817]"
317,Кореновск,213.0,,"[39.448033, 45.462742]"
318,Коркино,214.0,,"[61.393049, 54.892493]"
319,Королев,540.0,,"[37.815211, 55.918953]"
320,Королёв,1552.0,3054.0,"[37.815211, 55.918953]"
321,Коряжма,59.0,,"[47.159864, 61.315335]"
322,Костомукша,85.0,,"[30.596637, 64.587358]"
323,Кострома,2410.0,1029.0,"[40.926894, 57.767918]"
324,Котлас,120.0,,"[46.633226, 61.252975]"
325,Котовск,61.0,,"[41.50575, 52.59292]"
326,Красная Пойма,92.0,,"[39.081889, 55.003105]"
327,Красноармейск,39.0,,"[38.141578, 56.120342]"
328,Красноармейск,39.0,,"[45.695178, 51.023973]"
329,Красноармейское,37.0,,"[50.034823, 52.710292]"
330,Красноборск,49.0,,"[45.944111, 61.55949]"
331,Красновишерск,10.0,,"[57.083301, 60.412825]"
332,Красногорск,152.0,,"[37.330399, 55.831003]"
333,Краснодар,6248.0,5076.0,"[38.975313, 45.03547]"
334,Красное Поле,78.0,,"[40.693691, 44.894224]"
335,Краснокаменск,155.0,73.0,"[118.034146, 50.098683]"
336,Краснокамск,108.0,,"[55.736376, 58.078362]"
337,Красномайский,98.0,,"[34.414818, 57.62227]"
338,Краснотурьинск,64.0,,"[60.193574, 59.763534]"
339,Красноуральск,53.0,,"[60.038749, 58.356726]"
340,Красноуфимск,147.0,,"[57.770791, 56.617928]"
341,Красноярск,8199.0,8148.0,"[92.852572, 56.010569]"
342,Красные Баки,24.0,,"[45.166619, 57.127364]"
343,Красный Октябрь,19.0,,"[64.811292, 55.652695]"
344,Красный Сулин,137.0,,"[40.057495, 47.893519]"
345,Красный Яр,32.0,,"[48.021312, 56.033435]"
346,Красный Яр,32.0,,"[50.389343, 53.498062]"
347,Красный Яр,32.0,,"[48.349233, 46.534259]"
348,Кропоткин,232.0,,"[40.576003, 45.434693]"
349,Крымск,398.0,,"[37.987894, 44.935414]"
350,Кстово,217.0,,"[44.206805, 56.150665]"
351,Кубанский,72.0,,"[40.58009, 45.92922]"
352,Кудымкар,197.0,,"[54.664183, 59.014548]"
353,Кузнецк,239.0,,"[46.601174, 53.119335]"
354,Куйбышев,116.0,,"[78.311111, 55.445972]"
355,Кулебаки,102.0,,"[42.512492, 55.429716]"
356,Кулун,42.0,,"[89.783666, 55.332673]"
357,Кумертау,1197.0,,"[55.796698, 52.756185]"
358,Кунгур,69.0,,"[56.944215, 57.42881]"
359,Курган,2498.0,1345.0,"[65.341118, 55.441004]"
360,Курск,4401.0,549.0,"[36.193015, 51.730846]"
361,Кущевская,74.0,,"[39.628191, 46.565699]"
362,Кызыл,444.0,,"[94.43799, 51.71989]"
363,Кыштым,102.0,,"[60.538958, 55.707882]"
364,Лабинск,124.0,,"[40.723578, 44.635715]"
365,Лабытнанги,126.0,,"[66.37993, 66.660883]"
366,Лагань,77.0,,"[47.354142, 45.392903]"
367,Лангепас,90.0,,"[75.180725, 61.253706]"
368,Ленинградская,100.0,,"[39.392886, 46.320553]"
369,Лениногорск,983.0,,"[52.442676, 54.599028]"
370,Ленинск,105.0,,"[45.199228, 48.693682]"
371,Ленск,156.0,,"[114.911853, 60.713735]"
372,Лесной,837.0,268.0,"[59.79863, 58.635513]"
373,Лесосибирск,754.0,,"[92.503666, 58.221733]"
374,Ливны,807.0,,"[37.60805, 52.426549]"
375,Ликино-Дулево,277.0,,"[38.958712, 55.707086]"
376,Липецк,4534.0,1856.0,"[39.599229, 52.608826]"
377,Лиски,215.0,150.0,"[39.497099, 50.987304]"
378,Луга,62.0,,"[29.847945, 58.735207]"
379,Луховицы,108.0,,"[39.02605, 54.96515]"
380,Лысково,67.0,,"[45.040971, 56.021362]"
381,Лысьва,790.0,112.0,"[57.811664, 58.100417]"
382,Лыткарино,112.0,,"[37.908986, 55.579302]"
383,Люберцы,95.0,,"[37.893328, 55.676748]"
384,Любим,40.0,,"[40.686882, 58.362004]"
385,Лянтор,115.0,,"[72.155361, 61.620667]"
386,Магадан,101.0,,"[150.808586, 59.565155]"
387,Магнитогорск,4564.0,2407.0,"[58.980291, 53.407163]"
388,Майкоп,1040.0,1782.0,"[40.105852, 44.606683]"
389,Майский,85.0,,"[44.051756, 43.628254]"
390,Майский,85.0,,"[36.455233, 50.523238]"
391,Максатиха,21.0,,"[35.869864, 57.795725]"
392,Малояз,54.0,,"[58.155889, 55.179724]"
393,Мангут,24.0,,"[112.672713, 49.695882]"
394,Массандра,148.0,,"[34.186035, 44.514701]"
395,Махачкала,651.0,322.0,"[47.504745, 42.9831]"
396,Мегион,79.0,,"[76.102621, 61.03289]"
397,Медвенка,28.0,,"[36.109148, 51.419546]"
398,Медногорск,133.0,,"[57.582944, 51.403446]"
399,Междуреченск,156.0,,"[88.080398, 53.685199]"
400,Междуреченский,38.0,,"[65.900364, 59.596753]"
401,Мелеуз,1410.0,18.0,"[55.927672, 52.959143]"
402,Миасс,771.0,1045.0,"[60.109599, 55.050432]"
403,Микунь,110.0,,"[50.082532, 62.356493]"
404,Миллерово,47.0,,"[40.394849, 48.92173]"
405,Минеральные Воды,,433.0,"[43.13834, 44.208806]"
406,Мирный,96.0,55.0,"[113.978701, 62.541028]"
407,Мирный,96.0,55.0,"[40.326613, 62.761555]"
408,Мирный,96.0,55.0,"[61.733762, 55.251501]"
409,Михайловка,281.0,,"[43.23445, 50.07938]"
410,Михайловка,281.0,,"[55.889629, 54.807658]"
411,Михайловск,104.0,,"[59.125926, 56.444862]"
412,Михайловск,104.0,,"[42.028803, 45.129667]"
413,Михайловское,67.0,,"[44.62975, 43.099153]"
414,Михайловское,67.0,,"[79.721223, 51.820014]"
415,Мичуринск,451.0,656.0,"[40.49802, 52.893913]"
416,Мичуринский,209.0,,"[34.235424, 53.274777]"
417,Можга,71.0,,"[52.213022, 56.440244]"
418,Моздок,100.0,105.0,"[44.653887, 43.735433]"
419,Моздок,100.0,105.0,"[44.653887, 43.735433]"
420,Мончегорск,86.0,111.0,"[32.937071, 67.938921]"
421,Москва,57536.0,60524.0,"[37.617644, 55.755819]"
422,Московское,85.0,,"[41.918652, 45.284999]"
423,Мраково,27.0,,"[56.621163, 52.715502]"
424,Муравленко,86.0,,"[74.494457, 63.795285]"
425,Мурманск,1224.0,442.0,"[33.074918, 68.970663]"
426,Муром,1368.0,,"[42.052411, 55.579174]"
427,Мценск,313.0,,"[36.575006, 53.278939]"
428,Мыски,,158.0,"[87.805747, 53.712514]"
429,Мытищи,3871.0,1423.0,"[37.736743, 55.909968]"
430,Набережные Челны,8410.0,1560.0,"[52.403662, 55.741272]"
431,Надеждино,24.0,,"[50.373479, 54.117218]"
432,Надым,107.0,,"[72.540055, 65.527025]"
433,Назарово,164.0,,"[90.417697, 56.012345]"
434,Называевск,65.0,,"[71.349186, 55.564821]"
435,Нальчик,1472.0,1493.0,"[43.607081, 43.485259]"
436,Наро-Фоминск,99.0,,"[36.72285, 55.383838]"
437,Нарьян-Мар,44.0,39.0,"[53.006926, 67.63805]"
438,Наумовка,85.0,,"[55.91709, 53.519964]"
439,Находка,315.0,,"[132.89282, 42.824043]"
440,Невель,36.0,,"[29.91725, 56.017483]"
441,Невельск,213.0,,"[141.856596, 46.671673]"
442,Невинномысск,1818.0,,"[41.936061, 44.638287]"
443,Невьянск,86.0,,"[60.218251, 57.491225]"
444,Нелидово,45.0,,"[32.772042, 56.225553]"
445,Нерчинск,150.0,,"[116.585693, 51.977058]"
446,Нерюнгри,160.0,91.0,"[124.712311, 56.657717]"
447,Нефтегорск,42.0,,"[51.163808, 52.797221]"
448,Нефтекамск,706.0,25.0,"[54.247751, 56.088483]"
449,Нефтеюганск,369.0,155.0,"[72.616403, 61.088255]"
450,Нижневартовск,844.0,17.0,"[76.558902, 60.938545]"
451,Нижнекамск,1276.0,721.0,"[51.819712, 55.637576]"
452,Нижнеудинск,125.0,,"[99.026387, 54.901238]"
453,Нижний Бестях,136.0,,"[129.907763, 61.95847]"
454,Нижний Ломов,125.0,,"[43.672999, 53.530049]"
455,Нижний Новгород,9032.0,5184.0,"[44.006516, 56.326797]"
456,Нижний Тагил,1518.0,416.0,"[59.971474, 57.907562]"
457,Нижняя Салда,39.0,,"[60.716331, 58.07149]"
458,Никель,40.0,,"[30.210065, 69.410035]"
459,Николаевка,36.0,,"[47.207986, 53.129051]"
460,Николаевск,72.0,,"[45.45911, 50.025878]"
461,Николаевск-на-Амуре,33.0,,"[140.713795, 53.14025]"
462,Новая Усмань,74.0,,"[39.410268, 51.643447]"
463,Новоалтайск,164.0,125.0,"[83.931079, 53.412021]"
464,Новоаннинский,51.0,,"[42.667083, 50.529606]"
465,Новобелокатай,50.0,,"[58.959199, 55.70771]"
466,Нововоронеж,112.0,,"[39.215981, 51.3091]"
467,Новодвинск,46.0,,"[40.82083, 64.413687]"
468,Новозыбков,82.0,38.0,"[31.933231, 52.536723]"
469,Новоильинск,95.0,,"[108.707621, 51.68243]"
470,Новокузнецк,3350.0,1441.0,"[87.136053, 53.757553]"
471,Новокуйбышевск,485.0,,"[49.947776, 53.099469]"
472,Новомосковск,2040.0,241.0,"[38.291057, 54.010914]"
473,Новоомский,86.0,,"[73.301, 54.841371]"
474,Новопавловск,49.0,,"[43.63191, 43.957369]"
475,Новороссийск,592.0,,"[37.768813, 44.723771]"
476,Новосибирск,9480.0,8821.0,"[82.92043, 55.030204]"
477,Новотроицк,959.0,,"[58.299683, 51.196355]"
478,Новоуральск,424.0,76.0,"[60.095613, 57.247235]"
479,Новохоперск,55.0,,"[41.631461, 51.100286]"
480,Новочебоксарск,297.0,,"[47.476807, 56.108738]"
481,Новочеркасск,8097.0,2784.0,"[40.093734, 47.422052]"
