,city,5,21,coordinates
196,Михайловка,,99.0,"[43.23445, 50.07938]"
197,Михайловка,,99.0,"[55.889629, 54.807658]"
198,Мичуринск,379.0,898.0,"[40.49802, 52.893913]"
199,Мичуринское,,73.0,"[29.871876, 60.564878]"
200,Молодежный,,165.0,"[104.417761, 52.232653]"
201,Москва,37235.0,28398.0,"[37.617644, 55.755819]"
202,Муравленко,,69.0,"[74.494457, 63.795285]"
203,Мурманск,521.0,1807.0,"[33.074918, 68.970663]"
204,Мухоршибирь,,56.0,"[107.823679, 51.047343]"
205,Мытищи,1144.0,318.0,"[37.736743, 55.909968]"
206,Набережные Челны,,859.0,"[52.403662, 55.741272]"
207,Назрань,187.0,667.0,"[44.768485, 43.231409]"
208,Нальчик,539.0,1017.0,"[43.607081, 43.485259]"
209,Наро-Фоминск,,92.0,"[36.72285, 55.383838]"
210,Находка,,153.0,"[132.89282, 42.824043]"
211,Невинномысск,,138.0,"[41.936061, 44.638287]"
212,Нерюнгри,,1708.0,"[124.712311, 56.657717]"
213,Нефтегорск,,67.0,"[51.163808, 52.797221]"
214,Нефтекамск,,534.0,"[54.247751, 56.088483]"
215,Нефтеюганск,,347.0,"[72.616403, 61.088255]"
216,Нижневартовск,1264.0,4107.0,"[76.558902, 60.938545]"
217,Нижний Новгород,3649.0,3879.0,"[44.006516, 56.326797]"
218,Нижний Тагил,,135.0,"[59.971474, 57.907562]"
219,Нижняя Тура,,214.0,"[59.851325, 58.631072]"
220,Никель,,50.0,"[30.210065, 69.410035]"
221,Николаевск-на-Амуре,,37.0,"[140.713795, 53.14025]"
222,Новоалександрово,,55.0,"[40.263542, 56.221324]"
223,Новокузнецк,1092.0,7786.0,"[87.136053, 53.757553]"
224,Новоорск,,43.0,"[58.986337, 51.382956]"
225,Новороссийск,,415.0,"[37.768813, 44.723771]"
226,Новосибирск,8657.0,2750.0,"[82.92043, 55.030204]"
227,Новочеркасск,626.0,11520.0,"[40.093734, 47.422052]"
228,Новый Уренгой,,263.0,"[76.680956, 66.084539]"
229,Норильск,,1557.0,"[88.210393, 69.343985]"
230,Ноябрьск,,384.0,"[75.450938, 63.201805]"
231,Нягань,,147.0,"[65.433393, 62.14681]"
232,Облучье,,56.0,"[131.05969, 49.020287]"
233,Озерск,,69.0,"[60.707608, 55.763189]"
234,Октемцы,,36.0,"[129.425358, 61.674138]"
235,Октябрьский,,8766.0,"[53.46557, 54.481454]"
236,Октябрьский,,8766.0,"[43.171829, 61.089321]"
237,Олекминск,,114.0,"[120.403084, 60.372981]"
238,Оленегорск,,62.0,"[33.270104, 68.14046]"
239,Омск,1489.0,9453.0,"[73.368221, 54.989347]"
240,Орел,,230.0,"[36.064358, 52.970756]"
241,Оренбург,1883.0,9232.0,"[55.096964, 51.768205]"
242,Орлов,,54.0,"[48.89284, 58.539037]"
243,Орск,,308.0,"[58.474675, 51.2293]"
244,Осинники,,270.0,"[87.337078, 53.598754]"
245,Осташков,,65.0,"[33.102873, 57.15605]"
246,Отрадный,,226.0,"[51.348789, 53.376549]"
247,Оха,,139.0,"[142.949163, 53.588974]"
248,Павловск,,189.0,"[40.130439, 50.453624]"
249,Павловск,,189.0,"[82.98951, 53.313535]"
250,Палласовка,,46.0,"[46.880407, 50.050172]"
251,Партизанск,,67.0,"[133.123255, 43.11982]"
252,Пенза,,3575.0,"[45.018316, 53.195042]"
253,Первомайское,,60.0,"[42.481536, 43.938113]"
254,Первомайское,,60.0,"[84.020812, 53.723059]"
255,Первомайское,,60.0,"[86.234952, 57.073198]"
256,Перевоз,,143.0,"[44.54494, 55.596854]"
257,Пермь,1856.0,6041.0,"[56.229443, 58.010455]"
258,Петрозаводск,978.0,3303.0,"[34.346878, 61.785021]"
259,Петропавловск-Камчатский,631.0,76.0,"[158.643503, 53.024265]"
260,Петушки,,55.0,"[39.459352, 55.931104]"
261,Пласт,,95.0,"[60.808408, 54.363281]"
262,Подгородняя Покровка,,158.0,"[54.97615, 51.831971]"
263,Подольск,,615.0,"[37.544997, 55.431136]"
264,Покачи,,29.0,"[75.599753, 61.741652]"
265,Полевской,,31.0,"[60.236307, 56.495802]"
266,Полтавская,,51.0,"[38.211476, 45.366801]"
267,Прасковея,,154.0,"[44.202466, 44.744696]"
268,Приморско-Ахтарск,,29.0,"[38.177654, 46.043509]"
269,Прокопьевск,,3160.0,"[86.750055, 53.884493]"
270,Псков,338.0,176.0,"[28.33246, 57.819274]"
271,Пугачев,,58.0,"[48.812036, 52.0119]"
272,Пятигорск,,245.0,"[43.070643, 44.039802]"
273,Радужный,,68.0,"[40.332605, 55.995659]"
274,Радужный,,68.0,"[77.458448, 62.134265]"
275,Райчихинск,,136.0,"[129.411255, 49.794114]"
276,Реутов,,298.0,"[37.85515, 55.760515]"
277,Ростов-на-Дону,6068.0,7399.0,"[39.720358, 47.222078]"
278,Рубцовск,,321.0,"[81.217673, 51.527623]"
279,Рыбное,57.0,,"[39.505463, 54.730812]"
280,Рыбное,57.0,,"[37.619782, 56.41525]"
281,Рязаново,,40.0,"[49.410826, 53.985255]"
282,Рязань,1444.0,341.0,"[39.741917, 54.629565]"
283,Салават,,668.0,"[55.924681, 53.361651]"
284,Салехард,,71.0,"[66.614507, 66.529866]"
285,Самара,774.0,3765.0,"[50.100202, 53.195878]"
286,Санкт-Петербург,18636.0,12788.0,"[30.315877, 59.939099]"
287,Саранск,3588.0,1463.0,"[45.183938, 54.187433]"
288,Саратов,7662.0,8131.0,"[46.034266, 51.533562]"
289,Сатка,,114.0,"[58.974578, 55.047456]"
290,Светлый,,29.0,"[20.131093, 54.673268]"
291,Светлый,,29.0,"[113.426974, 63.049927]"
292,Свободный,,28.0,"[128.134156, 51.375889]"
293,Севастополь,,235.0,"[33.525135, 44.616495]"
294,Северобайкальск,,78.0,"[109.335597, 55.636001]"
295,Северодвинск,,1.0,"[39.823781, 64.563386]"
296,Североуральск,,85.0,"[59.952161, 60.152394]"
297,Северская,,91.0,"[38.677027, 44.851631]"
298,Сергиев Посад,,283.0,"[38.135972, 56.315311]"
299,Серебряные Пруды,,,"[38.727863, 54.474303]"
300,Серноводск,,146.0,"[51.255759, 53.921982]"
301,Серпухов,,185.0,"[37.416601, 54.913681]"
302,Сибай,548.0,153.0,"[58.665665, 52.72039]"
303,Симферополь,,384.0,"[34.100327, 44.948237]"
304,Славгород,,141.0,"[78.648671, 52.997158]"
305,Славянск-на-Кубани,,42.0,"[38.12822, 45.260332]"
306,Смоленск,403.0,2671.0,"[32.045287, 54.782635]"
307,Снежное,,58.0,"[57.179502, 56.503155]"
308,Советск,,158.0,"[21.888656, 55.081034]"
309,Советск,,158.0,"[48.959521, 57.587599]"
310,Советск,,158.0,"[37.626636, 53.932946]"
311,Советский,,95.0,"[63.566802, 61.370766]"
312,Советский,,95.0,"[34.929005, 45.340396]"
313,Советский,,95.0,"[63.566802, 61.370766]"
314,Соликамск,,270.0,"[56.770391, 59.649193]"
315,Солнечногорск,,390.0,"[36.977631, 56.185107]"
316,Солнечный,,63.0,"[136.641983, 50.723258]"
317,Сорочинск,,39.0,"[53.161149, 52.431316]"
318,Сортавала,,62.0,"[30.691633, 61.702943]"
319,Сочи,634.0,123.0,"[39.723098, 43.585472]"
320,Спасск,,83.0,"[43.187729, 53.926499]"
321,Ставрополь,5410.0,15615.0,"[41.96911, 45.043317]"
322,Старый Оскол,,2539.0,"[37.833231, 51.297974]"
323,Старый Черек,,104.0,"[43.853336, 43.469343]"
324,Стерлитамак,,1131.0,"[55.930825, 53.630403]"
325,Стрежевой,,21.0,"[77.604011, 60.732867]"
326,Строитель,,116.0,"[36.486998, 50.785172]"
327,Строитель,,116.0,"[36.058771, 55.498296]"
328,Строитель,,116.0,"[41.450028, 52.649155]"
329,Сунжа,,31.0,"[45.047682, 43.320353]"
330,Сунтар,,24.0,"[117.647601, 62.160619]"
331,Сургут,1297.0,2345.0,"[73.393032, 61.241778]"
332,Сухой Лог,,35.0,"[62.035542, 56.905431]"
333,Сыктывкар,1176.0,122.0,"[50.836497, 61.668797]"
334,Талица,,230.0,"[63.733394, 57.014273]"
335,Тамбов,2245.0,1154.0,"[41.45275, 52.721295]"
336,Тара,,444.0,"[74.371981, 56.901838]"
337,Ташла,,44.0,"[52.743055, 51.768076]"
338,Тверь,2898.0,3573.0,"[35.91186, 56.859625]"
339,Темников,,220.0,"[43.216089, 54.630972]"
340,Темрюк,47.0,89.0,"[37.365388, 45.282044]"
341,Техникумовский,,29.0,"[36.355844, 52.470514]"
342,Тикси,,19.0,"[128.870855, 71.639263]"
343,Тимашевск,,121.0,"[38.933973, 45.6142]"
344,Тихменево,,61.0,"[38.612043, 57.989723]"
