,city,8,15,26,27,coordinates
158,Волгоград,3185.0,8716.0,450.0,3159.0,"[44.516975, 48.707067]"
159,Волгодонск,2411.0,2134.0,,474.0,"[42.206329, 47.519624]"
160,Волжск,204.0,120.0,,,"[48.378168, 55.860428]"
161,Волжский,1371.0,2238.0,201.0,695.0,"[44.751229, 48.786127]"
162,Волжский,1371.0,2238.0,201.0,695.0,"[44.571503, 56.046519]"
163,Вологда,6318.0,1873.0,98.0,455.0,"[39.891523, 59.220501]"
164,Волоколамск,133.0,,,,"[35.955222, 56.035869]"
165,Волхов,200.0,188.0,,,"[32.352681, 59.900543]"
166,Вольск,105.0,100.0,,,"[47.387299, 52.045978]"
167,Воркута,485.0,77.0,,,"[64.050113, 67.493504]"
168,Воронеж,4261.0,13831.0,,6742.0,"[39.200296, 51.660781]"
169,Воскресенск,123.0,106.0,,100.0,"[38.673362, 55.322978]"
170,Воткинск,178.0,997.0,,,"[53.985236, 57.05232]"
171,Вурнары,148.0,,,,"[46.953431, 55.490871]"
172,Выборг,84.0,79.0,96.0,,"[28.749781, 60.710496]"
173,Выкса,168.0,1071.0,151.0,519.0,"[42.16797, 55.320688]"
174,Выльгорт,,58.0,,,"[50.768369, 61.626965]"
175,Вытегра,,82.0,,,"[36.449511, 61.006359]"
176,Вычегодский,216.0,,,,"[46.882679, 61.248149]"
177,Вышний Волочек,74.0,79.0,,,"[34.558836, 57.584174]"
178,Вязники,108.0,107.0,,,"[42.158862, 56.247026]"
179,Вязьма,278.0,487.0,,15.0,"[34.298037, 55.205944]"
180,Вятские Поляны,88.0,99.0,,,"[51.074919, 56.222896]"
181,Вятское,45.0,,,,"[48.521458, 56.778016]"
182,Гаврилов-Ям,47.0,82.0,,,"[39.853847, 57.303956]"
183,Галич,,68.0,,,"[42.34749, 58.381203]"
184,Гатчина,192.0,181.0,,,"[30.122892, 59.56841]"
185,Геленджик,36.0,,,24.0,"[38.077115, 44.561012]"
186,Георгиевск,333.0,288.0,,,"[43.474274, 44.147959]"
187,Глазов,325.0,473.0,,,"[52.674253, 58.140801]"
188,Голышманово,73.0,,,,"[68.375385, 56.396005]"
189,Горно-Алтайск,128.0,165.0,,,"[85.960634, 51.957804]"
190,Горнозаводск,46.0,45.0,,,"[58.330917, 58.374682]"
191,Горнозаводск,46.0,45.0,,,"[141.846759, 46.560619]"
192,Горный,,78.0,,,"[48.538553, 51.756147]"
193,Горняк,66.0,,,,"[81.460766, 50.999759]"
194,Городец,101.0,109.0,91.0,,"[43.47236, 56.644822]"
195,Городовиковск,,68.0,,,"[41.936052, 46.083105]"
196,Горячий Ключ,81.0,,,,"[39.136426, 44.634246]"
197,Грозный,5131.0,2766.0,,997.0,"[45.692421, 43.318366]"
198,Губаха,,161.0,,,"[57.554584, 58.837022]"
199,Губкин,1195.0,109.0,,,"[37.534757, 51.283644]"
200,Гуково,111.0,95.0,,,"[39.934929, 48.061025]"
201,Гулькевичи,148.0,146.0,,,"[40.695236, 45.360342]"
202,Гусев,253.0,209.0,,,"[22.201117, 54.591841]"
203,Гусиноозерск,,148.0,,,"[106.529323, 51.285526]"
204,Гусь-Хрустальный,,177.0,,,"[40.671045, 55.614556]"
205,Давлеканово,169.0,,,,"[55.03057, 54.212956]"
206,Дагестанские Огни,,79.0,,,"[48.193923, 42.115189]"
207,Дальнегорск,,83.0,,,"[135.576366, 44.558764]"
208,Дальнереченск,,79.0,,,"[133.726941, 45.931182]"
209,Данилов,63.0,,,,"[40.174995, 58.188193]"
210,Данков,,65.0,,,"[39.134423, 53.246197]"
211,Двинской,,4.0,,,"[45.117804, 62.154774]"
212,Дебесы,48.0,,,,"[53.806112, 57.651427]"
213,Дедовичи,89.0,,,,"[29.939717, 57.547341]"
214,Дербент,453.0,236.0,,,"[48.288776, 42.057669]"
215,Десногорск,,104.0,,,"[33.287881, 54.152351]"
216,Джанкой,154.0,,,,"[34.392872, 45.713348]"
217,Дзержинск,363.0,3086.0,,,"[43.461634, 56.238382]"
218,Дивногорск,119.0,115.0,,,"[92.380148, 55.957726]"
219,Димитровград,129.0,620.0,,,"[49.623924, 54.217515]"
220,Динская,247.0,244.0,,,"[39.223068, 45.218577]"
221,Дмитров,1149.0,132.0,,,"[37.517608, 56.342905]"
222,Добрянка,,65.0,,,"[56.403986, 58.468068]"
223,Долгодеревенское,19.0,,,,"[61.338638, 55.344183]"
224,Долгое Ледово,242.0,209.0,,,"[37.975596, 55.854966]"
225,Долгопрудный,,160.0,,2572.0,"[37.51423, 55.933302]"
226,Долинск,75.0,141.0,,,"[142.79821, 47.324133]"
227,Домашка,,35.0,,,"[50.773534, 52.985211]"
228,Домодедово,328.0,283.0,,,"[37.768004, 55.437174]"
229,Дондуковская,85.0,,,,"[40.362563, 44.87725]"
230,Донецк,140.0,146.0,,,"[39.944856, 48.337126]"
231,Донской,,141.0,,,"[38.33741, 53.968352]"
232,Дубна,,648.0,,2102.0,"[37.162189, 56.736345]"
233,Дудинка,37.0,35.0,,,"[86.164992, 69.405769]"
234,Дюртюли,,157.0,,,"[54.873472, 55.48529]"
235,Дятьково,,185.0,,85.0,"[34.339656, 53.597311]"
236,Евпатория,159.0,121.0,,,"[33.367643, 45.190635]"
237,Егорьевск,103.0,2686.0,,,"[39.035842, 55.383055]"
238,Ейск,122.0,107.0,76.0,,"[38.27266, 46.711944]"
239,Екатеринбург,8834.0,7850.0,,13211.0,"[60.597474, 56.838011]"
240,Елец,367.0,683.0,,,"[38.500446, 52.621938]"
241,Елизово,,126.0,,,"[158.382659, 53.189231]"
242,Ершов,,76.0,,,"[48.266498, 51.349829]"
243,Ессентуки,,25.0,,,"[42.85891, 44.044526]"
244,Ефремов,,102.0,,,"[38.117673, 53.137603]"
245,Жатай,,156.0,81.0,,"[129.841386, 62.163942]"
246,Железногорск,214.0,303.0,,,"[93.532264, 56.252922]"
247,Железногорск,214.0,303.0,,,"[35.350871, 52.339203]"
