prof_domain,type,speciality,code,code_group
Цветная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.26,15
Цветная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.27,15
Цветная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.28,15
Цветная металлургия,ВПО,Инженер по эксплуатации,22.03.02,22
Цветная металлургия,ВПО,Инженер по эксплуатации,22.03.01,22
Цветная металлургия,ВПО,Специалист по сертификации,27.03.01,27
Цветная металлургия,ВПО,Технолог,22.03.01,22
Цветная металлургия,ВПО,Инженер по качеству,27.03.02,27
Черная металлургия,СПО,"Оператор, аппаратчик",22.02.03,22
Черная металлургия,СПО,"Оператор, аппаратчик",22.02.01,22
Черная металлургия,СПО,"Оператор, аппаратчик",22.01.08,22
Черная металлургия,СПО,"Оператор, аппаратчик",22.01.09,22
Черная металлургия,СПО,"Оператор, аппаратчик",22.01.10,22
Черная металлургия,СПО,"Оператор, аппаратчик",18.01.30,18
Черная металлургия,СПО,Контролер ОТК,22.01.04,22
Черная металлургия,СПО,Контролер ОТК,15.01.29,15
Черная металлургия,СПО,Машинист,22.01.03,22
Черная металлургия,СПО,Машинист,18.01.31,18
Черная металлургия,СПО,Машинист,22.01.09,22
Черная металлургия,СПО,Разнорабочий,22.01.01,22
Черная металлургия,СПО,Разнорабочий,22.01.02,22
Черная металлургия,СПО,Разнорабочий,22.02.05,22
Черная металлургия,СПО,Разнорабочий,22.02.07,22
Черная металлургия,СПО,Разнорабочий,15.01.25,15
Черная металлургия,СПО,Слесарь,15.01.30,15
Черная металлургия,СПО,Сварщик,22.02.06,22
Черная металлургия,СПО,Сварщик,15.01.05,15
Черная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.26,15
Черная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.27,15
Черная металлургия,СПО,"Токарь, фрезеровщик, шлифовщик",15.01.28,15
Черная металлургия,ВПО,Инженер по эксплуатации,22.03.02,22
Черная металлургия,ВПО,Инженер по эксплуатации,22.03.01,22
