,city,Авиастроение и космическая отрасль,Добыча нефти и газа,Добыча угля и металлических руд,Машиностроение,Судостроение,Фармацевтика,Химическая промышленность,Цветная металлургия,Черная металлургия,Электроника и микроэлектроника,coordinates
941,Сыктывкар,608.25,1415.642857142857,1372.0714285714287,2388.0,1521.25,2796.785714285714,1572.2857142857142,1028.0726190476191,1017.9392857142857,1172.357142857143,"[50.836497, 61.668797]"
942,Тавда,13.0,,,104.0,70.0,,,15.166666666666668,15.166666666666668,8.666666666666666,"[65.272604, 58.041876]"
943,Таврическое,,,,,52.0,43.0,,,,,"[73.638021, 54.584469]"
944,Таганрог,926.0,,,3799.0,1243.0,237.0,159.0,1266.6333333333334,1246.0333333333333,1076.3333333333333,"[38.936694, 47.208735]"
945,Тайшет,17.75,,,142.0,17.75,,,147.64166666666668,143.10833333333335,11.833333333333332,"[98.002982, 55.940502]"
946,Талица,,451.7857142857143,369.6428571428571,,213.0,8.214285714285714,,,,,"[63.733394, 57.014273]"
947,Тальменка,,,,,105.0,,,,,,"[83.569229, 53.817308]"
948,Тамбов,3318.5,4511.785714285714,4099.642857142857,11512.0,9024.5,8640.642857142857,4848.285714285714,4859.964285714286,4819.297619047619,12824.190476190477,"[41.45275, 52.721295]"
949,Тара,18.75,872.1428571428571,713.5714285714286,150.0,18.75,15.857142857142856,,21.875,21.875,12.5,"[74.371981, 56.901838]"
950,Тарасовский,17.75,,,142.0,17.75,,,20.708333333333336,20.708333333333336,11.833333333333332,"[40.356095, 48.727189]"
951,Тарбагатай,,,,,,31.0,,,,,"[107.360543, 51.481641]"
952,Татарск,,,,,187.0,,,,,,"[75.973371, 55.219447]"
953,Татаурово,,,,,31.0,,,,,,"[107.438382, 52.140704]"
954,Ташла,,86.42857142857143,70.71428571428572,,,1.5714285714285714,,,,,"[52.743055, 51.768076]"
955,Таштып,,,,,45.0,,,,,,"[89.892434, 52.801032]"
956,Тверь,2380.75,9916.392857142857,8640.321428571428,6579.0,10362.75,14695.107142857143,5954.0,3430.775,3408.3083333333334,2777.333333333333,"[35.91186, 56.859625]"
957,Тевриз,14.5,,,116.0,14.5,,,16.916666666666668,16.916666666666668,9.666666666666666,"[72.404652, 57.516669]"
958,Тейково,,,,,105.0,38.0,,,,224.0,"[40.535471, 56.85436]"
959,Темников,,432.1428571428571,353.57142857142856,,,7.857142857142857,,,,,"[43.216089, 54.630972]"
960,Темрюк,278.5,221.82142857142856,190.03571428571428,723.0,278.5,669.1785714285714,215.0,289.08333333333337,289.08333333333337,257.3333333333333,"[37.365388, 45.282044]"
961,Тербуны,37.0,,,296.0,37.0,,,43.16666666666667,43.16666666666667,24.666666666666664,"[38.279963, 52.147475]"
962,Терек,19.75,,,158.0,19.75,,,23.041666666666668,23.041666666666668,13.166666666666666,"[44.140267, 43.483865]"
963,Техникумовский,4.75,56.964285714285715,46.607142857142854,38.0,21.75,1.0357142857142856,,5.541666666666667,5.541666666666667,3.1666666666666665,"[36.355844, 52.470514]"
964,Тикси,6.0,37.32142857142857,30.535714285714285,48.0,6.0,0.6785714285714285,,7.0,7.0,4.0,"[128.870855, 71.639263]"
965,Тимашевск,,237.67857142857144,194.46428571428572,,63.0,126.96428571428571,124.42857142857142,9.571428571428571,9.571428571428571,4.785714285714286,"[38.933973, 45.6142]"
966,Тихвин,29.0,,,232.0,153.0,148.0,,254.10000000000002,246.23333333333335,19.333333333333332,"[33.542105, 59.644213]"
